51 2 0 | ὣς ἔφατʼ οὐδʼ ἀπίθησε διάκτορος ἀργεϊφόντης αὐτίκʼ ἔπειθʼ ὑπὸ ποσσὶν ἐδήσατο καλὰ πέδιλα ἀμβρόσια χρύσεια τά μιν φέρον ἠμὲν ἐφʼ ὑγρὴν ἠδʼ ἐπʼ ἀπείρονα γαῖαν ἅμα πνοιῇς ἀνέμοιο εἵλετο δὲ ῥάβδον τῇ τʼ ἀνδρῶν ὄμματα θέλγει ὧν ἐθέλει τοὺς δʼ αὖτε καὶ ὑπνώοντας ἐγείρει τὴν μετὰ χερσὶν ἔχων πέτετο κρατὺς ἀργεϊφόντης | Il.24.339-Il.24.345 Od.5.43-Od.5.49
31 2 0 | κατά τε κνίσῃ ἐκάλυψαν δίπτυχα ποιήσαντες ἐπʼ αὐτῶν δʼ ὠμοθέτησαν καῖε δʼ ἐπὶ σχίζῃς ὁ γέρων ἐπὶ δʼ αἴθοπα οἶνον λεῖβε νέοι δὲ παρʼ αὐτὸν ἔχον πεμπώβολα χερσίν αὐτὰρ ἐπεὶ κατὰ | Il.1.460-Il.1.464 Od.3.457-Od.3.461
24 2 0 | σοὶ δʼ αὖ ἐγὼ ῥέξω βοῦν ἦνιν εὐρυμέτωπον ἀδμήτην ἣν οὔ πω ὑπὸ ζυγὸν ἤγαγεν ἀνήρ τήν τοι ἐγὼ ῥέξω χρυσὸν κέρασιν περιχεύας ὣς | Il.10.292-Il.10.295 Od.3.382-Od.3.385
24 2 0 | τε; πάρος γε μὲν οὔ τι θαμίζεις αὔδα ὅ τι φρονέεις τελέσαι δέ με θυμὸς ἄνωγεν εἰ δύναμαι τελέσαι γε καὶ εἰ τετελεσμένον ἐστίν | Il.18.425-Il.18.427 Od.5.88-Od.5.90
20 3 2 | παύσαντο πόνου τετύκοντό τε δαῖτα δαίνυντʼ οὐδέ τι θυμὸς ἐδεύετο δαιτὸς ἐΐσης αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο | Il.1.467-Il.1.469 Il.2.430-Il.2.432 Od.16.478-Od.16.480
20 2 0 | ἀμφʼ ὤμοισι σάκος θέτο τετραθέλυμνον κρατὶ δʼ ἐπʼ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν ἵππουριν δεινὸν δὲ λόφος καθύπερθεν ἔνευεν εἵλετο δʼ | Il.15.479-Il.15.482 Od.22.122-Od.22.125
19 3 2 | δέμνιʼ ὑπʼ αἰθούσῃ θέμεναι καὶ ῥήγεα καλὰ πορφύρεʼ ἐμβαλέειν στορέσαι τʼ ἐφύπερθε τάπητας χλαίνας τʼ ἐνθέμεναι οὔλας καθύπερθεν ἕσασθαι | Il.24.644-Il.24.646 Od.4.297-Od.4.299 Od.7.336-Od.7.338
18 3 0 | ἀλλʼ εἰς οἶκον ἰοῦσα τὰ σʼ αὐτῆς ἔργα κόμιζε ἱστόν τʼ ἠλακάτην τε καὶ ἀμφιπόλοισι κέλευε ἔργον ἐποίχεσθαι | Il.6.490-Il.6.492 Od.1.356-Od.1.358 Od.21.350-Od.21.352
17 2 0 | ἐρετμοῖς ἐκ δʼ εὐνὰς ἔβαλον κατὰ δὲ πρυμνήσιʼ ἔδησαν ἐκ δὲ καὶ αὐτοὶ βαῖνον ἐπὶ ῥηγμῖνι θαλάσσης | Il.1.435-Il.1.437 Od.15.497-Od.15.499
17 3 2 | καὶ ἔσφαξαν καὶ ἔδειραν μηρούς τʼ ἐξέταμον κατά τε κνίσῃ ἐκάλυψαν δίπτυχα ποιήσαντες ἐπʼ αὐτῶν δʼ ὠμοθέτησαν | Il.1.459-Il.1.461 Il.2.422-Il.2.424 Od.12.359-Od.12.361
17 2 0 | κήρυκες μὲν ὕδωρ ἐπὶ χεῖρας ἔχευαν κοῦροι δὲ κρητῆρας ἐπεστέψαντο ποτοῖο νώμησαν δʼ ἄρα πᾶσιν ἐπαρξάμενοι δεπάεσσιν | Il.9.174-Il.9.176 Od.21.270-Od.21.272
17 3 2 | αὔδα ὅ τι φρονέεις τελέσαι δέ με θυμὸς ἄνωγεν εἰ δύναμαι τελέσαι γε καὶ εἰ τετελεσμένον ἐστίν | Il.14.195-Il.14.196 Il.18.426-Il.18.427 Od.5.89-Od.5.90
17 2 0 | κρατὶ δʼ ἐπʼ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν ἵππουριν δεινὸν δὲ λόφος καθύπερθεν ἔνευεν εἵλετο δʼ ἄλκιμα δοῦρε | Il.16.137-Il.16.139 Od.22.123-Od.22.125
17 2 0 | δὴν δέ μιν ἀμφασίη ἐπέων λάβε τὼ δέ οἱ ὄσσε δακρυόφι πλῆσθεν θαλερὴ δέ οἱ ἔσχετο φωνή | Il.17.695-Il.17.696 Od.4.704-Od.4.705
17 2 0 | ὣς φάτο τὸν δʼ ἄχεος νεφέλη ἐκάλυψε μέλαινα ἀμφοτέρῃσι δὲ χερσὶν ἑλὼν κόνιν αἰθαλόεσσαν χεύατο κὰκ κεφαλῆς | Il.18.22-Il.18.24 Od.24.315-Od.24.317
16 2 0 | τὸν δέρον ἀμφί θʼ ἕπον καί μιν διέχευαν ἅπαντα μίστυλλόν τʼ ἄρʼ ἐπισταμένως πεῖράν τʼ ὀβελοῖσιν | Il.7.316-Il.7.317 Od.19.421-Od.19.422
16 2 0 | εὐρὺς ὕπερθε καὶ τὸ κατειβόμενον Στυγὸς ὕδωρ ὅς τε μέγιστος ὅρκος δεινότατός τε πέλει μακάρεσσι θεοῖσι | Il.15.36-Il.15.38 Od.5.184-Od.5.186
16 2 0 | ἐπίκλησιν καλέουσιν ἥ τʼ αὐτοῦ στρέφεται καί τʼ Ὠρίωνα δοκεύει οἴη δʼ ἄμμορός ἐστι λοετρῶν Ὠκεανοῖο | Il.18.487-Il.18.489 Od.5.273-Od.5.275
15 4 3 | δαίνυντʼ οὐδέ τι θυμὸς ἐδεύετο δαιτὸς ἐΐσης αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο | Il.1.468-Il.1.469 Il.2.431-Il.2.432 Il.23.56-Il.23.57 Od.16.479-Od.16.480
15 2 0 | ὣς τότε μὲν πρόπαν ἦμαρ ἐς ἠέλιον καταδύντα δαίνυντʼ οὐδέ τι θυμὸς ἐδεύετο δαιτὸς ἐΐσης | Il.1.601-Il.1.602 Od.19.424-Od.19.425
15 2 0 | αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο τοῖς ἄρα μύθων ἦρχε Γερήνιος ἱππότα Νέστωρ | Il.2.432-Il.2.433 Od.3.67-Od.3.68
14 2 0 | ὃς κάλλιστος ἔην ποικίλμασιν ἠδὲ μέγιστος ἀστὴρ δʼ ὣς ἀπέλαμπεν ἔκειτο δὲ νείατος ἄλλων | Il.6.294-Il.6.295 Od.15.107-Od.15.108
13 2 0 | ἵππουριν δεινὸν δὲ λόφος καθύπερθεν ἔνευεν εἵλετο δʼ ἄλκιμα δοῦρε δύω κεκορυθμένα χαλκῷ | Il.11.42-Il.11.43 Od.22.124-Od.22.125
13 2 0 | ἡμεῖς δʼ ἐμμεμαῶτες ἅμʼ ἑψόμεθʼ οὐδέ τί φημι ἀλκῆς δευήσεσθαι ὅση δύναμίς γε | Il.13.785-Il.13.786 Od.23.127-Od.23.128
12 2 0 | ἀχνύμενος μένεος δὲ μέγα φρένες ἀμφιμέλαιναι πίμπλαντʼ ὄσσε δέ οἱ πυρὶ λαμπετόωντι | Il.1.103-Il.1.104 Od.4.661-Od.4.662
12 2 0 | ἄλλο δέ τοι ἐρέω σὺ δʼ ἐνὶ φρεσὶ βάλλεο σῇσιν ὁππότε κεν | Il.4.39-Il.4.40 Od.16.281-Od.16.282
12 2 0 | καὶ ἡνία λάζετο χερσί μάστιξεν δʼ ἐλάαν τὼ δʼ οὐκ ἀέκοντε πετέσθην | Il.5.365-Il.5.366 Od.3.483-Od.3.484
12 6 4 | ἔν τʼ ἄρα οἱ φῦ χειρὶ ἔπος τʼ ἔφατʼ ἔκ τʼ ὀνόμαζε | Il.6.253-Il.6.253 Il.6.406-Il.6.406 Il.18.384-Il.18.384 Il.18.423-Il.18.423 Il.19.7-Il.19.7 Od.15.530-Od.15.530
12 2 0 | βριθὺ μέγα στιβαρόν τῷ δάμνησι στίχας ἀνδρῶν ἡρώων τοῖσίν τε κοτέσσεται ὀβριμοπάτρη | Il.8.390-Il.8.391 Od.1.100-Od.1.101
12 2 0 | ὀχθήσας δʼ ἄρα εἶπε πρὸς ὃν μεγαλήτορα θυμόν ὤ μοι ἐγώ τί | Il.18.5-Il.18.6 Od.5.464-Od.5.465
12 2 0 | τὸν δʼ ἐπεὶ οὖν δμῳαὶ λοῦσαν καὶ χρῖσαν ἐλαίῳ ἀμφὶ δέ μιν | Il.24.587-Il.24.588 Od.8.454-Od.8.455
11 2 0 | μέσον ἱστίον ἀμφὶ δὲ κῦμα στείρῃ πορφύρεον μεγάλʼ ἴαχε νηὸς ἰούσης | Il.1.481-Il.1.482 Od.2.427-Od.2.428
11 3 0 | ἄλλο δέ τοι ἐρέω σὺ δʼ ἐνὶ φρεσὶ βάλλεο σῇσιν αἴ | Il.5.259-Il.5.260 Il.16.444-Il.16.445 Od.17.548-Od.17.549
