74 2 0 | εὕδεις Ἀτρέος υἱὲ δαΐφρονος ἱπποδάμοιο οὐ χρὴ παννύχιον εὕδειν βουληφόρον ἄνδρα ᾧ λαοί τʼ ἐπιτετράφαται καὶ τόσσα μέμηλε νῦν δʼ ἐμέθεν ξύνες ὦκα Διὸς δέ τοι ἄγγελός εἰμι ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη Τρώεσσι δὲ κήδεʼ ἐφῆπται ἐκ Διός ἀλλὰ σὺ σῇσιν ἔχε | 2.23-2.33 2.60-2.70
49 2 0 | ἐξ αὖ νῦν ἔφυγες θάνατον κύον ἦ τέ τοι ἄγχι ἦλθε κακόν νῦν αὖτέ σʼ ἐρύσατο Φοῖβος Ἀπόλλων ᾧ μέλλεις εὔχεσθαι ἰὼν ἐς δοῦπον ἀκόντων ἦ θήν σʼ ἐξανύω γε καὶ ὕστερον ἀντιβολήσας εἴ πού τις καὶ ἔμοιγε θεῶν ἐπιτάρροθός ἐστι νῦν αὖ τοὺς ἄλλους ἐπιείσομαι ὅν κε κιχείω | 11.362-11.367 20.449-20.454
48 2 0 | τε ἔξοχον ἡρώων ὃ δʼ ἀνέδραμεν ἔρνεϊ ἶσος τὸν μὲν ἐγὼ θρέψασα φυτὸν ὣς γουνῷ ἀλωῆς νηυσὶν ἐπιπροέηκα κορωνίσιν Ἴλιον εἴσω Τρωσὶ μαχησόμενον τὸν δʼ οὐχ ὑποδέξομαι αὖτις οἴκαδε νοστήσαντα δόμον Πηλήϊον εἴσω ὄφρα δέ μοι ζώει καὶ ὁρᾷ φάος ἠελίοιο ἄχνυται οὐδέ τί οἱ δύναμαι χραισμῆσαι ἰοῦσα | 18.55-18.62 18.436-18.443
47 2 0 | οἳ δʼ ὅτε δή ῥʼ ἐς χῶρον ἕνα ξυνιόντες ἵκοντο σύν ῥʼ ἔβαλον ῥινούς σὺν δʼ ἔγχεα καὶ μένεʼ ἀνδρῶν χαλκεοθωρήκων ἀτὰρ ἀσπίδες ὀμφαλόεσσαι ἔπληντʼ ἀλλήλῃσι πολὺς δʼ ὀρυμαγδὸς ὀρώρει ἔνθα δʼ ἅμʼ οἰμωγή τε καὶ εὐχωλὴ πέλεν ἀνδρῶν ὀλλύντων τε καὶ ὀλλυμένων ῥέε δʼ αἵματι γαῖα | 4.446-4.451 8.60-8.65
46 2 0 | μέν μοι ὑπέσχετο καὶ κατένευσεν Ἴλιον ἐκπέρσαντʼ εὐτείχεον ἀπονέεσθαι νῦν δὲ κακὴν ἀπάτην βουλεύσατο καί με κελεύει δυσκλέα Ἄργος ἱκέσθαι ἐπεὶ πολὺν ὤλεσα λαόν οὕτω που Διὶ μέλλει ὑπερμενέϊ φίλον εἶναι ὃς δὴ πολλάων πολίων κατέλυσε κάρηνα ἠδʼ ἔτι καὶ λύσει τοῦ γὰρ κράτος ἐστὶ μέγιστον | 2.112-2.118 9.19-9.25
46 2 0 | ὣς ἔφαθʼ αἳ δʼ ἐπέμυξαν Ἀθηναίη τε καὶ Ἥρη πλησίαι αἵ γʼ ἥσθην κακὰ δὲ Τρώεσσι μεδέσθην ἤτοι Ἀθηναίη ἀκέων ἦν οὐδέ τι εἶπε σκυζομένη Διὶ πατρί χόλος δέ μιν ἄγριος ᾕρει Ἥρῃ δʼ οὐκ ἔχαδε στῆθος χόλον ἀλλὰ προσηύδα αἰνότατε Κρονίδη ποῖον τὸν μῦθον ἔειπες | 4.20-4.25 8.457-8.462
44 2 0 | αὐτὰρ ἐπεὶ κατὰ μῆρε κάη καὶ σπλάγχνα πάσαντο μίστυλλόν τʼ ἄρα τἆλλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ὤπτησάν τε περιφραδέως ἐρύσαντό τε πάντα αὐτὰρ ἐπεὶ παύσαντο πόνου τετύκοντό τε δαῖτα δαίνυντʼ οὐδέ τι θυμὸς ἐδεύετο δαιτὸς ἐΐσης αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο | 1.464-1.469 2.427-2.432
43 2 0 | ὡς δʼ ὅτε τις στατὸς ἵππος ἀκοστήσας ἐπὶ φάτνῃ δεσμὸν ἀπορρήξας θείῃ πεδίοιο κροαίνων εἰωθὼς λούεσθαι ἐϋρρεῖος ποταμοῖο κυδιόων ὑψοῦ δὲ κάρη ἔχει ἀμφὶ δὲ χαῖται ὤμοις ἀΐσσονται ὃ δʼ ἀγλαΐηφι πεποιθὼς ῥίμφά ἑ γοῦνα φέρει μετά τʼ ἤθεα καὶ νομὸν ἵππων ὣς | 6.506-6.512 15.263-15.269
38 2 0 | οἵ τέ μιν οὐκ εἰῶσι βοῶν ἐκ πῖαρ ἑλέσθαι πάννυχοι ἐγρήσσοντες ὃ δὲ κρειῶν ἐρατίζων ἰθύει ἀλλʼ οὔ τι πρήσσει θαμέες γὰρ ἄκοντες ἀντίον ἀΐσσουσι θρασειάων ἀπὸ χειρῶν καιόμεναί τε δεταί τάς τε τρεῖ ἐσσύμενός περ ἠῶθεν δʼ | 11.550-11.555 17.659-17.664
37 2 0 | τε κοτέσσεται ὀβριμοπάτρη Ἥρη δὲ μάστιγι θοῶς ἐπεμαίετʼ ἄρʼ ἵππους αὐτόμαται δὲ πύλαι μύκον οὐρανοῦ ἃς ἔχον Ὧραι τῇς ἐπιτέτραπται μέγας οὐρανὸς Οὔλυμπός τε ἠμὲν ἀνακλῖναι πυκινὸν νέφος ἠδʼ ἐπιθεῖναι τῇ ῥα διʼ αὐτάων κεντρηνεκέας ἔχον ἵππους | 5.747-5.752 8.391-8.396
36 2 0 | βάλε στῆθος παρὰ μαζόν ἤριπε δʼ ἐξ ὀχέων ὑπερώησαν δέ οἱ ἵπποι ὠκύποδες τοῦ δʼ αὖθι λύθη ψυχή τε μένος τε Ἕκτορα δʼ αἰνὸν ἄχος πύκασε φρένας ἡνιόχοιο τὸν μὲν ἔπειτʼ εἴασε καὶ ἀχνύμενός περ ἑταίρου | 8.121-8.125 8.313-8.317
