89 2 0 | Od.14.258-Od.14.269 Od.17.427-Od.17.438 | στῆσα δʼ ἐν Αἰγύπτῳ ποταμῷ νέας ἀμφιελίσσας ἔνθʼ ἦ τοι μὲν ἐγὼ κελόμην ἐρίηρας ἑταίρους αὐτοῦ πὰρ νήεσσι μένειν καὶ νῆας ἔρυσθαι ὀπτῆρας δὲ κατὰ σκοπιὰς ὤτρυνα νέεσθαι οἱ δʼ ὕβρει εἴξαντες ἐπισπόμενοι μένεϊ σφῷ αἶψα μάλʼ Αἰγυπτίων ἀνδρῶν περικαλλέας ἀγροὺς πόρθεον ἐκ δὲ γυναῖκας ἄγον καὶ νήπια τέκνα αὐτούς τʼ ἔκτεινον τάχα δʼ ἐς πόλιν ἵκετʼ ἀϋτή οἱ δὲ βοῆς ἀΐοντες ἅμʼ ἠοῖ φαινομένηφιν ἦλθον πλῆτο δὲ πᾶν πεδίον πεζῶν τε καὶ ἵππων χαλκοῦ τε στεροπῆς ἐν δὲ Ζεὺς τερπικέραυνος φύζαν ἐμοῖς ἑτάροισι κακὴν βάλεν οὐδέ τις ἔτλη
64 2 0 | Od.3.486-Od.3.494 Od.15.184-Od.15.192 | οἱ δὲ πανημέριοι σεῖον ζυγὸν ἀμφὶς ἔχοντες δύσετό τʼ ἠέλιος σκιόωντό τε πᾶσαι ἀγυιαί ἐς Φηρὰς δʼ ἵκοντο Διοκλῆος ποτὶ δῶμα υἱέος Ὀρτιλόχοιο τὸν Ἀλφειὸς τέκε παῖδα ἔνθα δὲ νύκτʼ ἄεσαν ὁ δὲ τοῖς πὰρ ξείνια θῆκεν ἦμος δʼ ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς ἵππους τε ζεύγνυντʼ ἀνά θʼ ἅρματα ποικίλʼ ἔβαινον ἐκ δʼ ἔλασαν προθύροιο καὶ αἰθούσης ἐριδούπου μάστιξεν δʼ ἐλάαν τὼ δʼ οὐκ
60 2 0 | Od.2.99-Od.2.107 Od.24.134-Od.24.142 | εἰς ὅτε κέν μιν μοῖρʼ ὀλοὴ καθέλῃσι τανηλεγέος θανάτοιο μή τίς μοι κατὰ δῆμον Ἀχαιϊάδων νεμεσήσῃ αἴ κεν ἄτερ σπείρου κεῖται πολλὰ κτεατίσσας ὣς ἔφαθʼ ἡμῖν δʼ αὖτʼ ἐπεπείθετο θυμὸς ἀγήνωρ ἔνθα καὶ ἠματίη μὲν ὑφαίνεσκεν μέγαν ἱστόν νύκτας δʼ ἀλλύεσκεν ἐπεὶ δαΐδας παραθεῖτο ὣς τρίετες μὲν ἔληθε δόλῳ καὶ ἔπειθεν Ἀχαιούς ἀλλʼ ὅτε τέτρατον ἦλθεν ἔτος καὶ ἐπήλυθον ὧραι
60 2 0 | Od.4.333-Od.4.342 Od.17.124-Od.17.133 | ὢ πόποι ἦ μάλα δὴ κρατερόφρονος ἀνδρὸς ἐν εὐνῇ ἤθελον εὐνηθῆναι ἀνάλκιδες αὐτοὶ ἐόντες ὡς δʼ ὁπότʼ ἐν ξυλόχῳ ἔλαφος κρατεροῖο λέοντος νεβροὺς κοιμήσασα νεηγενέας γαλαθηνοὺς κνημοὺς ἐξερέῃσι καὶ ἄγκεα ποιήεντα βοσκομένη ὁ δʼ ἔπειτα ἑὴν εἰσήλυθεν εὐνήν ἀμφοτέροισι δὲ τοῖσιν ἀεικέα πότμον ἐφῆκεν ὣς Ὀδυσεὺς κείνοισιν ἀεικέα πότμον ἐφήσει αἲ γάρ Ζεῦ τε πάτερ καὶ Ἀθηναίη καὶ Ἄπολλον τοῖος
46 2 0 | Od.1.358-Od.1.364 Od.21.352-Od.21.358 | δʼ ἄνδρεσσι μελήσει πᾶσι μάλιστα δʼ ἐμοί τοῦ γὰρ κράτος ἔστʼ ἐνὶ οἴκῳ ἡ μὲν θαμβήσασα πάλιν οἶκόνδε βεβήκει παιδὸς γὰρ μῦθον πεπνυμένον ἔνθετο θυμῷ ἐς δʼ ὑπερῷʼ ἀναβᾶσα σὺν ἀμφιπόλοισι γυναιξὶ κλαῖεν ἔπειτʼ Ὀδυσῆα φίλον πόσιν ὄφρα οἱ ὕπνον ἡδὺν ἐπὶ βλεφάροισι βάλε γλαυκῶπις Ἀθήνη
42 2 0 | Od.2.93-Od.2.99 Od.24.128-Od.24.134 | δόλον τόνδʼ ἄλλον ἐνὶ φρεσὶ μερμήριξε στησαμένη μέγαν ἱστὸν ἐνὶ μεγάροισιν ὕφαινε λεπτὸν καὶ περίμετρον ἄφαρ δʼ ἡμῖν μετέειπε κοῦροι ἐμοὶ μνηστῆρες ἐπεὶ θάνε δῖος Ὀδυσσεύς μίμνετʼ ἐπειγόμενοι τὸν ἐμὸν γάμον εἰς ὅ κε φᾶρος ἐκτελέσω μή μοι μεταμώνια νήματʼ ὄληται Λαέρτῃ
41 2 0 | Od.1.136-Od.1.142 Od.4.52-Od.4.58 | χέρνιβα δʼ ἀμφίπολος προχόῳ ἐπέχευε φέρουσα καλῇ χρυσείῃ ὑπὲρ ἀργυρέοιο λέβητος νίψασθαι παρὰ δὲ ξεστὴν ἐτάνυσσε τράπεζαν σῖτον δʼ αἰδοίη ταμίη παρέθηκε φέρουσα εἴδατα πόλλʼ ἐπιθεῖσα χαριζομένη παρεόντων δαιτρὸς δὲ κρειῶν πίνακας παρέθηκεν ἀείρας παντοίων παρὰ δέ σφι τίθει χρύσεια κύπελλα
41 2 0 | Od.4.342-Od.4.348 Od.17.133-Od.17.139 | ἐνὶ Λέσβῳ ἐξ ἔριδος Φιλομηλεΐδῃ ἐπάλαισεν ἀναστάς κὰδ δʼ ἔβαλε κρατερῶς κεχάροντο δὲ πάντες Ἀχαιοί τοῖος ἐὼν μνηστῆρσιν ὁμιλήσειεν Ὀδυσσεύς πάντες κʼ ὠκύμοροί τε γενοίατο πικρόγαμοί τε ταῦτα δʼ ἅ μʼ εἰρωτᾷς καὶ λίσσεαι οὐκ ἂν ἐγώ γε ἄλλα παρὲξ εἴποιμι
39 2 0 | Od.17.419-Od.17.424 Od.19.75-Od.19.80 | καὶ γὰρ ἐγώ ποτε οἶκον ἐν ἀνθρώποισιν ἔναιον ὄλβιος ἀφνειὸν καὶ πολλάκι δόσκον ἀλήτῃ τοίῳ ὁποῖος ἔοι καὶ ὅτευ κεχρημένος ἔλθοι ἦσαν δὲ δμῶες μάλα μυρίοι ἄλλα τε πολλὰ οἷσίν τʼ εὖ ζώουσι καὶ ἀφνειοὶ καλέονται ἀλλὰ Ζεὺς ἀλάπαξε
38 2 0 | Od.16.286-Od.16.291 Od.19.5-Od.19.10 | πάντα μάλʼ αὐτὰρ μνηστῆρας μαλακοῖς ἐπέεσσι παρφάσθαι ὅτε κέν σε μεταλλῶσιν ποθέοντες ἐκ καπνοῦ κατέθηκʼ ἐπεὶ οὐκέτι τοῖσιν ἐῴκει οἷά ποτε Τροίηνδε κιὼν κατέλειπεν Ὀδυσσεύς ἀλλὰ κατῄκισται ὅσσον πυρὸς ἵκετʼ ἀϋτμή πρὸς δʼ ἔτι καὶ τόδε μεῖζον ἐνὶ
37 2 0 | Od.2.230-Od.2.235 Od.5.8-Od.5.13 | μή τις ἔτι πρόφρων ἀγανὸς καὶ ἤπιος ἔστω σκηπτοῦχος βασιλεύς μηδὲ φρεσὶν αἴσιμα εἰδώς ἀλλʼ αἰεὶ χαλεπός τʼ εἴη καὶ αἴσυλα ῥέζοι ὡς οὔ τις μέμνηται Ὀδυσσῆος θείοιο λαῶν οἷσιν ἄνασσε πατὴρ δʼ ὣς ἤπιος ἦεν ἀλλʼ
