74 2 0 | Il.2.23:0/5-Il.2.33:5/10 Il.2.60:0/5-Il.2.70:5/11 | εὕδεις Ἀτρέος υἱὲ δαΐφρονος ἱπποδάμοιο οὐ χρὴ παννύχιον εὕδειν βουληφόρον ἄνδρα ᾧ λαοί τʼ ἐπιτετράφαται καὶ τόσσα μέμηλε νῦν δʼ ἐμέθεν ξύνες ὦκα Διὸς δέ τοι ἄγγελός εἰμι ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη Τρώεσσι δὲ κήδεʼ ἐφῆπται ἐκ Διός ἀλλὰ σὺ σῇσιν ἔχε
49 2 0 | Il.11.362:0/10-Il.11.367:7/8 Il.20.449:0/10-Il.20.454:7/8 | ἐξ αὖ νῦν ἔφυγες θάνατον κύον ἦ τέ τοι ἄγχι ἦλθε κακόν νῦν αὖτέ σʼ ἐρύσατο Φοῖβος Ἀπόλλων ᾧ μέλλεις εὔχεσθαι ἰὼν ἐς δοῦπον ἀκόντων ἦ θήν σʼ ἐξανύω γε καὶ ὕστερον ἀντιβολήσας εἴ πού τις καὶ ἔμοιγε θεῶν ἐπιτάρροθός ἐστι νῦν αὖ τοὺς ἄλλους ἐπιείσομαι ὅν κε κιχείω
48 2 0 | Il.18.55:9/10-Il.18.62:6/7 Il.18.436:7/8-Il.18.443:6/7 | τε ἔξοχον ἡρώων ὃ δʼ ἀνέδραμεν ἔρνεϊ ἶσος τὸν μὲν ἐγὼ θρέψασα φυτὸν ὣς γουνῷ ἀλωῆς νηυσὶν ἐπιπροέηκα κορωνίσιν Ἴλιον εἴσω Τρωσὶ μαχησόμενον τὸν δʼ οὐχ ὑποδέξομαι αὖτις οἴκαδε νοστήσαντα δόμον Πηλήϊον εἴσω ὄφρα δέ μοι ζώει καὶ ὁρᾷ φάος ἠελίοιο ἄχνυται οὐδέ τί οἱ δύναμαι χραισμῆσαι ἰοῦσα
47 2 0 | Il.4.446:0/10-Il.4.451:7/8 Il.8.60:0/10-Il.8.65:7/8 | οἳ δʼ ὅτε δή ῥʼ ἐς χῶρον ἕνα ξυνιόντες ἵκοντο σύν ῥʼ ἔβαλον ῥινούς σὺν δʼ ἔγχεα καὶ μένεʼ ἀνδρῶν χαλκεοθωρήκων ἀτὰρ ἀσπίδες ὀμφαλόεσσαι ἔπληντʼ ἀλλήλῃσι πολὺς δʼ ὀρυμαγδὸς ὀρώρει ἔνθα δʼ ἅμʼ οἰμωγή τε καὶ εὐχωλὴ πέλεν ἀνδρῶν ὀλλύντων τε καὶ ὀλλυμένων ῥέε δʼ αἵματι γαῖα
46 2 0 | Il.2.112:3/8-Il.2.118:8/9 Il.9.19:3/8-Il.9.25:8/9 | μέν μοι ὑπέσχετο καὶ κατένευσεν Ἴλιον ἐκπέρσαντʼ εὐτείχεον ἀπονέεσθαι νῦν δὲ κακὴν ἀπάτην βουλεύσατο καί με κελεύει δυσκλέα Ἄργος ἱκέσθαι ἐπεὶ πολὺν ὤλεσα λαόν οὕτω που Διὶ μέλλει ὑπερμενέϊ φίλον εἶναι ὃς δὴ πολλάων πολίων κατέλυσε κάρηνα ἠδʼ ἔτι καὶ λύσει τοῦ γὰρ κράτος ἐστὶ μέγιστον
46 2 0 | Il.4.20:0/9-Il.4.25:5/6 Il.8.457:0/9-Il.8.462:5/6 | ὣς ἔφαθʼ αἳ δʼ ἐπέμυξαν Ἀθηναίη τε καὶ Ἥρη πλησίαι αἵ γʼ ἥσθην κακὰ δὲ Τρώεσσι μεδέσθην ἤτοι Ἀθηναίη ἀκέων ἦν οὐδέ τι εἶπε σκυζομένη Διὶ πατρί χόλος δέ μιν ἄγριος ᾕρει Ἥρῃ δʼ οὐκ ἔχαδε στῆθος χόλον ἀλλὰ προσηύδα αἰνότατε Κρονίδη ποῖον τὸν μῦθον ἔειπες
44 2 0 | Il.1.464:0/8-Il.1.469:7/8 Il.2.427:0/8-Il.2.432:7/8 | αὐτὰρ ἐπεὶ κατὰ μῆρε κάη καὶ σπλάγχνα πάσαντο μίστυλλόν τʼ ἄρα τἆλλα καὶ ἀμφʼ ὀβελοῖσιν ἔπειραν ὤπτησάν τε περιφραδέως ἐρύσαντό τε πάντα αὐτὰρ ἐπεὶ παύσαντο πόνου τετύκοντό τε δαῖτα δαίνυντʼ οὐδέ τι θυμὸς ἐδεύετο δαιτὸς ἐΐσης αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο
43 2 0 | Il.6.506:0/9-Il.6.512:0/7 Il.15.263:0/9-Il.15.269:0/7 | ὡς δʼ ὅτε τις στατὸς ἵππος ἀκοστήσας ἐπὶ φάτνῃ δεσμὸν ἀπορρήξας θείῃ πεδίοιο κροαίνων εἰωθὼς λούεσθαι ἐϋρρεῖος ποταμοῖο κυδιόων ὑψοῦ δὲ κάρη ἔχει ἀμφὶ δὲ χαῖται ὤμοις ἀΐσσονται ὃ δʼ ἀγλαΐηφι πεποιθὼς ῥίμφά ἑ γοῦνα φέρει μετά τʼ ἤθεα καὶ νομὸν ἵππων ὣς
38 2 0 | Il.11.550:0/9-Il.11.555:1/7 Il.17.659:0/9-Il.17.664:1/6 | οἵ τέ μιν οὐκ εἰῶσι βοῶν ἐκ πῖαρ ἑλέσθαι πάννυχοι ἐγρήσσοντες ὃ δὲ κρειῶν ἐρατίζων ἰθύει ἀλλʼ οὔ τι πρήσσει θαμέες γὰρ ἄκοντες ἀντίον ἀΐσσουσι θρασειάων ἀπὸ χειρῶν καιόμεναί τε δεταί τάς τε τρεῖ ἐσσύμενός περ ἠῶθεν δʼ
37 2 0 | Il.5.747:2/5-Il.5.752:6/7 Il.8.391:2/5-Il.8.396:6/7 | τε κοτέσσεται ὀβριμοπάτρη Ἥρη δὲ μάστιγι θοῶς ἐπεμαίετʼ ἄρʼ ἵππους αὐτόμαται δὲ πύλαι μύκον οὐρανοῦ ἃς ἔχον Ὧραι τῇς ἐπιτέτραπται μέγας οὐρανὸς Οὔλυμπός τε ἠμὲν ἀνακλῖναι πυκινὸν νέφος ἠδʼ ἐπιθεῖναι τῇ ῥα διʼ αὐτάων κεντρηνεκέας ἔχον ἵππους
36 2 0 | Il.8.121:3/7-Il.8.125:7/8 Il.8.313:3/7-Il.8.317:7/8 | βάλε στῆθος παρὰ μαζόν ἤριπε δʼ ἐξ ὀχέων ὑπερώησαν δέ οἱ ἵπποι ὠκύποδες τοῦ δʼ αὖθι λύθη ψυχή τε μένος τε Ἕκτορα δʼ αἰνὸν ἄχος πύκασε φρένας ἡνιόχοιο τὸν μὲν ἔπειτʼ εἴασε καὶ ἀχνύμενός περ ἑταίρου
