75 2 0 | Il.2.23-Il.2.33 Il.2.60-Il.2.70 | εὕδω Ἀτρεύς υἱός δαίφρων ἱππόδαμος οὐ χρή παννύχιος εὕδω βουληφόρος ἀνήρ ὅς λαός τε ἐπιτρέπω καί τόσος μέλω νῦν δέ ἐγώ συνίημι ὦκα Ζεύς δέ σύ ἄγγελος εἰμί ὅς σύ ἄνευθε εἰμί μέγας κήδω ἠδέ ἐλεαίρω θωρήσσω σύ κελεύω κάρα κομάω Ἀχαιός πανσυδίῃ νῦν γάρ ἄν αἱρέω πόλις εὐρυάγυια Τρώς οὐ γάρ ἔτι ἀμφίς Ὀλύμπιος δῶμα ἔχω ἀθάνατος φράζω ἐπιγνάμπτω γάρ ἅπας Ἥρα λίσσομαι Τρώς δέ κῆδος ἐφάπτω ἐκ Ζεύς ἀλλά σύ σός ἔχω φρήν
45 2 0 | Il.11.362-Il.11.367 Il.20.449-Il.20.454 | ἐκ αὖ νῦν φεύγω θάνατος κύων ἦ τε σύ ἄγχι ἔρχομαι κακός νῦν αὖτε σύ ἐρύω Φοῖβος Ἀπόλλων ὅς μέλλω εὔχομαι εἶμι εἰς δοῦπος ἄκων ἦ θήν σύ ἐξανύω γε καί ὕστερος ἀντιβολέω εἰ πού τις καί ἐγώ θεός ἐπιτάρροθος εἰμί νῦν αὖ ὁ ἄλλος
43 2 0 | Il.15.263-Il.15.269 Il.6.506-Il.6.512 | ὡς δέ ὅτε τις στατός ἵππος ἀκοστάω ἐπί φάτνη δεσμός ἀπορρήγνυμι θέω πεδίον κροαίνω ἔθω λούω ἐυρρεής ποταμός κυδιάω ὑψοῦ δέ κάρα ἔχω ἀμφί δέ χαίτη ὦμος ἀίσσω ὁ δέ ἀγλαία πείθω ῥίμφα ἕ γόνυ φέρω μετά τε ἦθος καί νομός ἵππος ὡς
43 2 0 | Il.2.112-Il.2.118 Il.9.19-Il.9.25 | καί κατανεύω Ἴλιος ἐκπέρθω εὐτείχεος ἀπονέομαι νῦν δέ κακός ἀπάτη βουλεύω καί ἐγώ κελεύω δυσκλεής Ἄργος ἱκνέομαι ἐπεί πολύς ὄλλυμι λαός οὕτως πού Ζεύς μέλλω ὑπερμενής φίλος εἰμί ὅς δή πολύς πόλις καταλύω κάρηνον ἠδέ ἔτι καί λύω ὁ γάρ κράτος εἰμί μέγας
38 2 0 | Il.24.154-Il.24.158 Il.24.183-Il.24.187 | ἄγω εἷος ἄν ἄγω Ἀχιλλεύς πελάζω ἀτάρ ἐπήν ἄγω ἔσω κλισία Ἀχιλλεύς οὐ τε αὐτός κτείνω ἀπό τε ἄλλος πᾶς ἐρύκω οὐ τε γάρ εἰμί ἄφρων οὐ τε ἄσκοπος οὐ τε ἀλιτήμων ἀλλά μάλα ἐνδυκέως ἱκέτης φείδομαι ἀνήρ
37 2 0 | Il.9.149-Il.9.155 Il.9.291-Il.9.297 | δίδωμι εὖ ναίω πτολίεθρον Καρδαμύλη Ἐνόπη τε καί Ἱρή ποιήεις Φηραί τε ζάθεος ἠδέ Ἄνθεια βαθύλειμος καλός τε Αἴπεια καί Πήδασος ἀμπελόεις πᾶς δέ ἐγγύς ἅλς νέατος Πύλος ἠμαθόεις ἐν δέ ἀνήρ ναίω πολύρρηνος πολυβούτης ὅς ἄν
36 2 0 | Il.3.355-Il.3.360 Il.7.249-Il.7.254 | προίημι δολιχόσκιος ἔγχος καί βάλλω Πριαμίδης κατά ἀσπίς πάντοσε ἴσος διά μέν ἀσπίς ἔρχομαι φαεινός ὄβριμος ἔγχος καί διά θώραξ πολυδαίδαλος ἐρείδω ἀντικρύ δέ παρά λαπάρα διαμάω χιτών ἔγχος ὁ δέ κλίνω καί ἀλέομαι κήρ μέλας
36 2 0 | Il.8.121-Il.8.125 Il.8.313-Il.8.317 | βάλλω στῆθος παρά μαστός ἐρείπω δέ ἐκ ὄχος ὑπερωέω δέ ἕ ἵππος ὠκύπους ὁ δέ αὖθι λύω ψυχή τε μένος τε Ἕκτωρ δέ αἰνός ἄχος πυκάζω φρήν ἡνίοχος ὁ μέν ἔπειτα ἐάω καί ἀχεύω πέρ ἑταῖρος
34 2 0 | Il.1.464-Il.1.468 Il.2.427-Il.2.431 | ἀτάρ ἐπεί κατά μῆρα καίω καί σπλάγχνον πατέομαι μιστύλλω τε ἄρα ἄλλος καί ἀμφί ὀβελός πείρω ὀπτάω τε περιφραδής ἐρύω τε πᾶς ἀτάρ ἐπεί παύω πόνος τεύχω τε δαίς δαίνυμι οὐ δέ τις θυμός
34 2 0 | Il.4.21-Il.4.25 Il.8.458-Il.8.462 | κακός δέ Τρώς μέδομαι ἤτοι Ἀθήνη ἀκέων εἰμί οὐ δέ τις εἶπον σκύζομαι Ζεύς πατήρ χόλος δέ μιν ἄγριος αἱρέω Ἥρα δέ οὐ χανδάνω στῆθος χόλος ἀλλά προσαυδάω αἰνός Κρονίδης ποῖος ὁ μῦθος εἶπον
31 2 0 | Il.10.308-Il.10.312 Il.10.395-Il.10.399 | σχεδόν ἔρχομαι ἐκ τε πυνθάνομαι ἤ φυλάσσω ναῦς θοός ὡς ὁ πάρος πέρ ἤ ἤδη χείρ ὑπό ἡμέτερος δαμάζω φύξις βουλεύω μετά σφεῖς οὐ δέ ἐθέλω νύξ φυλάσσω κάματος ἀδέω αἰνός
